diameter[mm],T[k],wavelength[mm],K2,radarsx[mm2],extxs[mm2],ray[mm2]
1.33,273.14999999999998,31.228381041666665,0.92972595237084443,0.0016209569719186343,0.047345313245409242,0.0016558320472430576
1.34,273.14999999999998,31.228381041666665,0.92972595237084443,0.0016952541083115346,0.048837624064539224,0.001731949513468241
1.35,273.14999999999998,31.228381041666665,0.92972595237084443,0.0017724048265590488,0.050370175685346422,0.0018109607967501573
1.36,273.14999999999998,31.228381041666665,0.92972595237084443,0.0018525011899188191,0.051943909500454945,0.0018929532490262481
1.37,273.14999999999998,31.228381041666665,0.92972595237084443,0.0019356376522913742,0.053559785651881096,0.0019780161850717825
1.38,273.14999999999998,31.228381041666665,0.92972595237084443,0.0020219116276171734,0.055218792595761138,0.0020662409116861007
1.39,273.14999999999998,31.228381041666665,0.92972595237084443,0.0021114233633268125,0.056921919530392114,0.0021577207570942572
1.4,273.14999999999998,31.228381041666665,0.92972595237084443,0.0022042759588687772,0.058670194023499593,0.0022525511005640586
1.41,273.14999999999998,31.228381041666665,0.92972595237084443,0.0023005752201512111,0.060464652493925443,0.0023508294022384999
1.42,273.14999999999998,31.228381041666665,0.92972595237084443,0.0024004314133264622,0.062306355064260278,0.0024526552331835937
1.43,273.14999999999998,31.228381041666665,0.92972595237084443,0.0025039562512142711,0.064196377214379319,0.0025581303056516087
1.44,273.14999999999998,31.228381041666665,0.92972595237084443,0.002611266475399924,0.066135819462830203,0.0026673585035596791
1.45,273.14999999999998,31.228381041666665,0.92972595237084443,0.0027224815908830011,0.068125800148023621,0.0027804459131838375
1.46,273.14999999999998,31.228381041666665,0.92972595237084443,0.0028377245627127985,0.070167457350162235,0.0028975008540684322
1.47,273.14999999999998,31.228381041666665,0.92972595237084443,0.0029571235328705206,0.072261956614793801,0.0030186339101509383
1.48,273.14999999999998,31.228381041666665,0.92972595237084443,0.0030808081292171834,0.074410473836673818,0.003143957961102175
1.49,273.14999999999998,31.228381041666665,0.92972595237084443,0.0032089140929467295,0.076614212054777572,0.0032735882138819096
1.5,273.14999999999998,31.228381041666665,0.92972595237084443,0.0033503060317396412,0.078921470710215449,0.003407642234509864
1.51,273.14999999999998,31.228381041666665,0.92972595237084443,0.0034867997038810373,0.081233155810111451,0.0035462399800521181
1.52,273.14999999999998,31.228381041666665,0.92972595237084443,0.0036279043467408851,0.083602930159014655,0.0036895038308229059
1.53,273.14999999999998,31.228381041666665,0.92972595237084443,0.0037737443442403245,0.086032052081580213,0.0038375586228018119
1.54,273.14999999999998,31.228381041666665,0.92972595237084443,0.003924446539077836,0.088521807031775868,0.0039905316802663618
1.55,273.14999999999998,31.228381041666665,0.92972595237084443,0.0040801412157632343,0.091073507292267417,0.004148552848640014
1.56,273.14999999999998,31.228381041666665,0.92972595237084443,0.0042409611768066211,0.093688479502297514,0.0043117545275555384
1.57,273.14999999999998,31.228381041666665,0.92972595237084443,0.0044070404052901488,0.09636808718485021,0.0044802717041338043
1.58,273.14999999999998,31.228381041666665,0.92972595237084443,0.0045785178454900979,0.099113707833904052,0.0046542419864779548
1.59,273.14999999999998,31.228381041666665,0.92972595237084443,0.0047555337003048863,0.10192675293892345,0.0048338056373829858
1.6,273.14999999999998,31.228381041666665,0.92972595237084443,0.0049382316579040207,0.10480865451272957,0.0050191056082607112
1.61,273.14999999999998,31.228381041666665,0.92972595237084443,0.0051267583502972803,0.10776087161719176,0.0052102875732801361
1.62,273.14999999999998,31.228381041666665,0.92972595237084443,0.0053212640209194554,0.11078489755965579,0.0054074999637232215
1.63,273.14999999999998,31.228381041666665,0.92972595237084443,0.0055218994407442929,0.11388224602416472,0.0056108940025560447
1.64,273.14999999999998,31.228381041666665,0.92972595237084443,0.0057288206999732911,0.11705445150329911,0.0058206237392153535
1.65,273.14999999999998,31.228381041666665,0.92972595237084443,0.0059421871973777607,0.1203030889577284,0.0060368460846105323
1.66,273.14999999999998,31.228381041666665,0.92972595237084443,0.0061621603290942881,0.12362975707496263,0.0062597208463409382
1.67,273.14999999999998,31.228381041666665,0.92972595237084443,0.006388903731086761,0.1270360856383643,0.0064894107641286633
1.68,273.14999999999998,31.228381041666665,0.92972595237084443,0.0066225870388429879,0.13052371516408512,0.0067260815454666641
1.69,273.14999999999998,31.228381041666665,0.92972595237084443,0.0068633811893225871,0.13409435278636272,0.0069699019014823286
1.7,273.14999999999998,31.228381041666665,0.92972595237084443,0.0071114604413559648,0.13774970021061209,0.0072210435830163851
1.71,273.14999999999998,31.228381041666665,0.92972595237084443,0.0073670032873920923,0.14149151305220245,0.0074796814169172492
1.72,273.14999999999998,31.228381041666665,0.92972595237084443,0.0076301917449931884,0.14532156089813314,0.00774599334255076
1.73,273.14999999999998,31.228381041666665,0.92972595237084443,0.0079012101046578524,0.14924164767305378,0.0080201604485253021
1.74,273.14999999999998,31.228381041666665,0.92972595237084443,0.0081802482391225041,0.15325362385800809,0.0083023670096323294
1.75,273.14999999999998,31.228381041666665,0.92972595237084443,0.0084674989011961962,0.1573593614258578,0.0085928005240022923
1.76,273.14999999999998,31.228381041666665,0.92972595237084443,0.0087631568805882892,0.16156075963801728,0.0088916517504759509
1.77,273.14999999999998,31.228381041666665,0.92972595237084443,0.0090674232183521001,0.16585975818027615,0.0091991147461910859
1.78,273.14999999999998,31.228381041666665,0.92972595237084443,0.0093805003512217652,0.17025833104489368,0.0095153869043846234
